Monitoring Date,Officer ID,Officer Name,Office Location,Site ID,Site Name,Site Location,Activity ID,Activity Type,Activity Description,Activity Duration (hours),Equipment Used,Pollution Level Detected,Compliance Status,Community Feedback Rating,Transaction ID,Incentive Received,Compliance Target Achieved
23-06-2022,6,Megan Lewis,Hobart,9,Croudace Bay Park,"Mount Wellington, Hobart, TAS 7054",320,Noise Level Measurement,Description 60,2.92,Equipment 6,358.2,Non-Compliant,2,2369,Yes,No
09-04-2022,25,Grace Jones,Darwin,21,Blackbutt Nature Reserve,"Darwin Waterfront, Darwin, NT 0800",120,Soil Quality Test,Description 192,1.58,Equipment 1,311.71,Non-Compliant,4,4278,No,
02-03-2022,11,Hannah Moore,Canberra,17,Jesmond Park,"Lake Burley Griffin, Canberra, ACT 2600",457,Air Quality Check,Description 183,6.73,Equipment 5,436,Non-Compliant,5,4286,Yes,No
23-07-2022,3,Tina Scott,Gold Coast,22,Mount Sugarloaf,"Broadbeach, Gold Coast, QLD 4218",867,Water Quality Test,Description 16,5.92,Equipment 6,116.2,Compliant,5,4358,Yes,Yes
26-07-2022,18,Fiona Wilson,Newcastle,18,Charlestown Park,"John Parade, Merewether, NSW 2291",950,Noise Level Measurement,Description 89,4.15,Equipment 12,80.48,Compliant,5,1930,Yes,Yes
28-08-2022,9,Beth Smith,Sydney,10,Toronto Foreshore,"Circular Quay, Sydney, NSW 2000",962,Air Quality Check,Description 128,2.72,Equipment 14,338.73,Non-Compliant,1,84,No,
18-10-2022,17,Ella Brown,Melbourne,16,Watagan Mountains,"St Kilda Road, Melbourne, VIC 3004",732,Noise Level Measurement,Description 19,1.7,Equipment 18,424.28,Compliant,1,1304,Yes,Yes
25-06-2022,17,Xena Perez,Brisbane,15,Awaba State Forest,"Queen Street Mall, Brisbane, QLD 4000",132,Noise Level Measurement,Description 12,1.25,Equipment 19,132.55,Compliant,2,3581,Yes,Yes
26-08-2022,9,Laura Clark,Perth,8,Heaton State Forest,"Cottesloe Beach, Perth, WA 6011",693,Air Quality Check,Description 65,4.24,Equipment 3,300.75,Non-Compliant,4,1748,No,
16-07-2022,9,Grace Jones,Adelaide,17,Lambton Park,"Glenelg Beach, Adelaide, SA 5045",619,Soil Quality Test,Description 192,6.22,Equipment 14,429.2,Compliant,3,2343,Yes,No
12-10-2022,11,Kate Harris,Hobart,14,Richley Reserve,"Mount Wellington, Hobart, TAS 7054",961,Noise Level Measurement,Description 165,7.71,Equipment 14,308.93,Compliant,4,2444,No,
22-04-2022,11,Jane White,Darwin,20,Heaton State Forest,"Darwin Waterfront, Darwin, NT 0800",757,Noise Level Measurement,Description 4,4.67,Equipment 3,270.51,Compliant,1,1894,Yes,Yes
07-08-2022,6,Paula Young,Canberra,8,Waratah Park,"Lake Burley Griffin, Canberra, ACT 2600",539,Water Quality Test,Description 167,1.3,Equipment 14,462.22,Compliant,2,4034,No,
24-03-2022,9,Grace Jones,Gold Coast,7,King Edward Park,"Broadbeach, Gold Coast, QLD 4218",695,Air Quality Check,Description 51,4.43,Equipment 13,243.59,Compliant,4,1841,No,
27-11-2022,19,Fiona Wilson,Newcastle,20,Blackbutt Nature Reserve,"Shortland Esplanade, Newcastle, NSW 2300",944,Noise Level Measurement,Description 47,4.47,Equipment 20,41.21,Non-Compliant,4,2429,No,
11-03-2022,4,Alice Johnson,Sydney,20,King Edward Park,"Circular Quay, Sydney, NSW 2000",189,Soil Quality Test,Description 12,6.8,Equipment 12,311.41,Non-Compliant,3,1023,Yes,No
07-03-2022,6,Tina Scott,Melbourne,13,Newcastle Beach,"St Kilda Road, Melbourne, VIC 3004",866,Soil Quality Test,Description 167,6.36,Equipment 10,266.59,Compliant,2,1287,Yes,No
15-12-2022,24,Zoe Ward,Brisbane,4,Merewether Beach,"Queen Street Mall, Brisbane, QLD 4000",131,Soil Quality Test,Description 172,5.23,Equipment 4,295.11,Compliant,5,4349,No,
23-03-2022,25,Diana Taylor,Perth,2,Nobbys Beach,"Cottesloe Beach, Perth, WA 6011",552,Noise Level Measurement,Description 7,3.58,Equipment 12,30.45,Non-Compliant,3,3865,No,
18-02-2022,5,Xena Perez,Adelaide,23,Speers Point Park,"Glenelg Beach, Adelaide, SA 5045",36,Water Quality Test,Description 148,5.48,Equipment 10,462.1,Non-Compliant,1,256,No,
28-11-2022,5,Vicky Turner,Hobart,17,Warners Bay Foreshore,"Mount Wellington, Hobart, TAS 7054",72,Air Quality Check,Description 66,4.04,Equipment 10,74.69,Non-Compliant,2,499,Yes,Yes
29-09-2022,5,Grace Jones,Darwin,24,Redhead Beach,"Darwin Waterfront, Darwin, NT 0800",977,Soil Quality Test,Description 176,2.34,Equipment 16,259.83,Compliant,3,4242,No,
19-09-2022,4,Vicky Turner,Canberra,12,Glenrock State Conservation Area,"Lake Burley Griffin, Canberra, ACT 2600",414,Water Quality Test,Description 7,4.38,Equipment 19,377.35,Non-Compliant,3,2137,Yes,Yes
20-06-2022,4,Paula Young,Gold Coast,5,Hunter Wetlands Centre,"Surfers Paradise Beach, Gold Coast, QLD 4217",684,Air Quality Check,Description 187,3.81,Equipment 13,37.15,Non-Compliant,4,3764,No,
03-11-2022,25,Fiona Wilson,Newcastle,5,Croudace Bay Park,"John Parade, Merewether, NSW 2291",241,Water Quality Test,Description 126,4.81,Equipment 8,108.85,Compliant,3,1152,No,
01-06-2022,13,Samantha Wright,Sydney,15,Belmont Wetlands State Park,"Circular Quay, Sydney, NSW 2000",786,Soil Quality Test,Description 154,2.72,Equipment 2,142.71,Non-Compliant,2,4365,Yes,No
18-02-2022,8,Olivia Hall,Melbourne,13,Jesmond Park,"St Kilda Road, Melbourne, VIC 3004",375,Water Quality Test,Description 34,4.16,Equipment 11,393.23,Compliant,4,1629,Yes,Yes
09-11-2022,8,Alice Johnson,Brisbane,5,Mount Sugarloaf,"Queen Street Mall, Brisbane, QLD 4000",131,Soil Quality Test,Description 50,5.89,Equipment 14,217.39,Compliant,2,3545,No,
31-12-2022,10,Yvonne Cook,Perth,5,King Edward Park,"Kings Park, Perth, WA 6005",32,Water Quality Test,Description 39,5.49,Equipment 17,484.07,Non-Compliant,2,3778,No,
10-12-2022,4,Fiona Wilson,Adelaide,16,Toronto Foreshore,"Rundle Mall, Adelaide, SA 5000",970,Soil Quality Test,Description 170,4.9,Equipment 19,256.08,Compliant,1,1669,No,
22-03-2022,13,Beth Smith,Hobart,13,Watagan Mountains,"Mount Wellington, Hobart, TAS 7054",51,Soil Quality Test,Description 9,7.08,Equipment 4,437.48,Compliant,1,3767,Yes,No
12-12-2022,21,Hannah Moore,Darwin,1,Awaba State Forest,"Darwin Waterfront, Darwin, NT 0800",452,Soil Quality Test,Description 149,1.72,Equipment 19,137.52,Non-Compliant,4,3514,No,
14-10-2022,8,Diana Taylor,Canberra,3,Heaton State Forest,"Lake Burley Griffin, Canberra, ACT 2600",494,Noise Level Measurement,Description 22,6.03,Equipment 12,325.09,Non-Compliant,2,985,Yes,Yes
04-07-2022,18,Diana Taylor,Gold Coast,21,Lambton Park,"Broadbeach, Gold Coast, QLD 4218",688,Water Quality Test,Description 108,6.3,Equipment 12,7.95,Non-Compliant,5,995,Yes,Yes
13-09-2022,14,Wendy Mitchell,Newcastle,2,Richley Reserve,"John Parade, Merewether, NSW 2291",931,Soil Quality Test,Description 149,3.54,Equipment 8,358.9,Non-Compliant,2,1137,Yes,No
02-04-2022,2,Fiona Wilson,Sydney,8,Braye Park,"Circular Quay, Sydney, NSW 2000",974,Noise Level Measurement,Description 45,1.24,Equipment 11,64.36,Compliant,3,2892,Yes,Yes
25-12-2022,1,Laura Clark,Melbourne,14,Waratah Park,"St Kilda Road, Melbourne, VIC 3004",508,Noise Level Measurement,Description 115,5.34,Equipment 19,332.14,Non-Compliant,5,3031,No,
30-03-2022,11,Beth Smith,Brisbane,10,King Edward Park,"South Bank, Brisbane, QLD 4101",981,Water Quality Test,Description 99,3.72,Equipment 15,59.94,Compliant,1,1812,No,
29-04-2022,25,Hannah Moore,Perth,14,Blackbutt Nature Reserve,"Kings Park, Perth, WA 6005",30,Water Quality Test,Description 124,1.77,Equipment 6,78.98,Compliant,3,1981,Yes,Yes
14-10-2022,23,Zoe Ward,Adelaide,9,King Edward Park,"Rundle Mall, Adelaide, SA 5000",554,Air Quality Check,Description 69,1.01,Equipment 7,172.33,Compliant,3,2787,Yes,No
20-11-2022,6,Yvonne Cook,Hobart,19,Nobbys Beach,"Mount Wellington, Hobart, TAS 7054",801,Water Quality Test,Description 139,6.32,Equipment 1,73.38,Compliant,4,2,No,
23-07-2022,6,Zoe Ward,Darwin,7,Merewether Beach,"Mindil Beach, Darwin, NT 0820",203,Noise Level Measurement,Description 93,6.4,Equipment 7,327.03,Non-Compliant,5,1450,Yes,No
20-03-2022,14,Xena Perez,Canberra,7,Nobbys Beach,"Lake Burley Griffin, Canberra, ACT 2600",491,Noise Level Measurement,Description 190,5.04,Equipment 20,181.02,Non-Compliant,3,2568,Yes,Yes
28-08-2022,3,Samantha Wright,Gold Coast,9,Belmont Wetlands State Park,"Broadbeach, Gold Coast, QLD 4218",189,Soil Quality Test,Description 134,4,Equipment 8,412.56,Non-Compliant,1,1524,Yes,Yes
30-10-2022,23,Megan Lewis,Newcastle,12,Warners Bay Foreshore,"Shortland Esplanade, Newcastle, NSW 2300",333,Noise Level Measurement,Description 197,4.12,Equipment 10,28.16,Compliant,4,1036,Yes,Yes
19-09-2022,1,Zoe Ward,Sydney,14,Redhead Beach,"Circular Quay, Sydney, NSW 2000",492,Air Quality Check,Description 46,4.54,Equipment 13,366.27,Compliant,4,3547,Yes,Yes
18-02-2022,6,Rachel King,Melbourne,14,Glenrock State Conservation Area,"Federation Square, Melbourne, VIC 3000",773,Soil Quality Test,Description 11,4.04,Equipment 17,367.14,Compliant,2,1260,Yes,Yes
23-11-2022,20,Laura Clark,Brisbane,21,Hunter Wetlands Centre,"Queen Street Mall, Brisbane, QLD 4000",292,Noise Level Measurement,Description 44,4.13,Equipment 2,93.01,Compliant,1,1131,Yes,No
10-11-2022,5,Isabella Thompson,Perth,16,Croudace Bay Park,"Kings Park, Perth, WA 6005",871,Water Quality Test,Description 158,4.95,Equipment 11,442.99,Non-Compliant,3,1653,No,
16-03-2022,10,Olivia Hall,Adelaide,3,Newcastle Beach,"Rundle Mall, Adelaide, SA 5000",970,Air Quality Check,Description 101,5.45,Equipment 16,478.68,Non-Compliant,2,2594,Yes,Yes
21-08-2022,9,Wendy Mitchell,Hobart,3,Jesmond Park,"Mount Wellington, Hobart, TAS 7054",663,Noise Level Measurement,Description 109,5.53,Equipment 8,254.66,Compliant,4,2039,Yes,No
04-08-2022,1,Paula Young,Darwin,1,Speers Point Park,"Darwin Waterfront, Darwin, NT 0800",105,Water Quality Test,Description 1,6.84,Equipment 13,356.11,Compliant,2,430,No,
04-09-2022,10,Megan Lewis,Canberra,5,Charlestown Park,"Parliament House, Canberra, ACT 2600",419,Air Quality Check,Description 11,1.42,Equipment 1,280.72,Compliant,3,2724,No,
29-08-2022,14,Samantha Wright,Gold Coast,14,Toronto Foreshore,"Surfers Paradise Beach, Gold Coast, QLD 4217",916,Noise Level Measurement,Description 121,4.05,Equipment 3,34.21,Non-Compliant,1,1148,No,
25-10-2022,15,Samantha Wright,Newcastle,2,Watagan Mountains,"Shortland Esplanade, Newcastle, NSW 2300",890,Noise Level Measurement,Description 94,1.12,Equipment 7,202.79,Compliant,3,1868,Yes,No
27-05-2022,6,Olivia Hall,Sydney,13,Awaba State Forest,"Circular Quay, Sydney, NSW 2000",816,Noise Level Measurement,Description 69,1.12,Equipment 19,40.45,Compliant,2,1948,No,
24-03-2022,20,Zoe Ward,Melbourne,7,Heaton State Forest,"St Kilda Road, Melbourne, VIC 3004",612,Soil Quality Test,Description 38,5.47,Equipment 7,5.51,Non-Compliant,4,480,No,
29-08-2022,25,Jane White,Brisbane,7,Lambton Park,"South Bank, Brisbane, QLD 4101",998,Air Quality Check,Description 79,4.37,Equipment 3,106.22,Non-Compliant,1,1393,Yes,No
30-03-2022,6,Alice Johnson,Perth,12,Richley Reserve,"Kings Park, Perth, WA 6005",817,Air Quality Check,Description 91,2.1,Equipment 1,208.51,Compliant,4,1468,No,
19-09-2022,8,Alice Johnson,Adelaide,12,Braye Park,"Glenelg Beach, Adelaide, SA 5045",659,Soil Quality Test,Description 22,6.09,Equipment 17,398.16,Compliant,3,4341,Yes,No
03-01-2022,22,Tina Scott,Hobart,12,Waratah Park,"Salamanca Place, Hobart, TAS 7000",113,Noise Level Measurement,Description 78,4.44,Equipment 16,408.65,Compliant,5,883,Yes,Yes
21-03-2022,2,Diana Taylor,Darwin,15,King Edward Park,"Darwin Waterfront, Darwin, NT 0800",380,Soil Quality Test,Description 56,5.15,Equipment 5,453.61,Compliant,3,202,No,
13-06-2022,3,Vicky Turner,Canberra,6,Blackbutt Nature Reserve,"Carnley Avenue, Kotara, NSW 2289",602,Noise Level Measurement,Description 126,6.32,Equipment 7,284,Compliant,1,3222,Yes,No
05-02-2022,16,Olivia Hall,Gold Coast,10,King Edward Park,"Broadbeach, Gold Coast, QLD 4218",335,Soil Quality Test,Description 20,2.12,Equipment 12,441.18,Compliant,1,2415,Yes,Yes
02-06-2022,25,Wendy Mitchell,Newcastle,4,Newcastle Beach,"John Parade, Merewether, NSW 2291",603,Soil Quality Test,Description 76,5.13,Equipment 3,473.49,Compliant,4,1662,No,
29-04-2022,23,Rachel King,Sydney,13,Merewether Beach,"Darling Harbour, Sydney, NSW 2000",643,Air Quality Check,Description 109,5.87,Equipment 7,245.32,Compliant,5,2861,No,
05-09-2022,4,Fiona Wilson,Melbourne,22,Nobbys Beach,"Federation Square, Melbourne, VIC 3000",978,Soil Quality Test,Description 132,3.3,Equipment 12,46.83,Compliant,1,2189,No,
28-09-2022,6,Olivia Hall,Brisbane,20,Speers Point Park,"Queen Street Mall, Brisbane, QLD 4000",156,Water Quality Test,Description 102,4.59,Equipment 16,265.76,Non-Compliant,2,415,Yes,Yes
05-06-2022,22,Beth Smith,Perth,1,Waratah Park,"Cottesloe Beach, Perth, WA 6011",614,Water Quality Test,Description 111,6.41,Equipment 14,439.6,Compliant,5,3187,Yes,No
02-08-2022,1,Hannah Moore,Adelaide,23,Redhead Beach,"Rundle Mall, Adelaide, SA 5000",497,Soil Quality Test,Description 92,4.59,Equipment 19,436.31,Non-Compliant,2,827,No,
24-01-2022,8,Wendy Mitchell,Hobart,14,Glenrock State Conservation Area,"Scout Camp Road, Whitebridge, NSW 2290",859,Soil Quality Test,Description 39,1.12,Equipment 8,250.98,Compliant,2,1040,Yes,No
25-05-2022,12,Rachel King,Darwin,16,Hunter Wetlands Centre,"Mindil Beach, Darwin, NT 0820",188,Water Quality Test,Description 20,6.55,Equipment 12,451.06,Compliant,1,1743,Yes,Yes
15-07-2022,14,Xena Perez,Canberra,6,Croudace Bay Park,"Lake Burley Griffin, Canberra, ACT 2600",350,Soil Quality Test,Description 73,2.88,Equipment 18,309.58,Non-Compliant,5,3688,No,
25-10-2022,12,Grace Jones,Gold Coast,22,Belmont Wetlands State Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",723,Air Quality Check,Description 89,4.14,Equipment 10,376.06,Compliant,4,2993,No,
09-08-2022,1,Samantha Wright,Newcastle,7,Jesmond Park,"Robinson Avenue, Jesmond, NSW 2299",335,Noise Level Measurement,Description 95,3.85,Equipment 15,270.09,Non-Compliant,1,3761,Yes,No
24-06-2022,13,Vicky Turner,Sydney,6,Mount Sugarloaf,"Circular Quay, Sydney, NSW 2000",246,Soil Quality Test,Description 103,3.67,Equipment 16,324.95,Compliant,2,2081,No,
06-06-2022,4,Xena Perez,Melbourne,1,Charlestown Park,"St Kilda Road, Melbourne, VIC 3004",286,Noise Level Measurement,Description 24,1.54,Equipment 19,47.04,Compliant,1,3231,Yes,No
04-01-2022,25,Zoe Ward,Brisbane,6,Toronto Foreshore,"South Bank, Brisbane, QLD 4101",455,Noise Level Measurement,Description 113,1.38,Equipment 16,384.32,Non-Compliant,2,91,Yes,Yes
08-06-2022,4,Olivia Hall,Perth,3,Watagan Mountains,"Cottesloe Beach, Perth, WA 6011",779,Soil Quality Test,Description 131,5.02,Equipment 17,260.02,Compliant,5,2855,No,
21-09-2022,8,Samantha Wright,Adelaide,4,Awaba State Forest,"Glenelg Beach, Adelaide, SA 5045",898,Soil Quality Test,Description 184,2.65,Equipment 12,313.42,Non-Compliant,4,2274,No,
13-06-2022,22,Isabella Thompson,Hobart,16,Belmont Wetlands State Park,"Salamanca Place, Hobart, TAS 7000",326,Noise Level Measurement,Description 33,3.68,Equipment 7,172.19,Non-Compliant,3,3481,Yes,No
04-06-2022,4,Rachel King,Darwin,5,Lambton Park,"Morehead Street, Lambton, NSW 2299",872,Noise Level Measurement,Description 88,2.4,Equipment 13,101.5,Non-Compliant,2,3460,No,
26-08-2022,7,Beth Smith,Canberra,7,Richley Reserve,"Parliament House, Canberra, ACT 2600",595,Noise Level Measurement,Description 94,7.36,Equipment 6,362.64,Compliant,5,2434,Yes,Yes
28-11-2022,24,Tina Scott,Gold Coast,4,Braye Park,"Surfers Paradise Beach, Gold Coast, QLD 4217",705,Air Quality Check,Description 46,2.41,Equipment 9,391.68,Non-Compliant,5,14,No,
21-01-2022,23,Isabella Thompson,Newcastle,9,Waratah Park,"Shortland Esplanade, Newcastle, NSW 2300",723,Soil Quality Test,Description 43,7.08,Equipment 12,247.63,Compliant,3,3058,Yes,No
10-11-2022,3,Xena Perez,Sydney,20,King Edward Park,"Darling Harbour, Sydney, NSW 2000",561,Air Quality Check,Description 46,2.92,Equipment 14,311.79,Compliant,3,3945,Yes,No
13-10-2022,25,Hannah Moore,Melbourne,10,Blackbutt Nature Reserve,"Federation Square, Melbourne, VIC 3000",287,Air Quality Check,Description 21,6.84,Equipment 11,51.24,Non-Compliant,3,3863,Yes,Yes
07-02-2022,1,Hannah Moore,Brisbane,21,King Edward Park,"Reserve Road, Newcastle, NSW 2300",264,Water Quality Test,Description 98,6.99,Equipment 1,51.21,Compliant,4,3947,Yes,No
12-12-2022,24,Kate Harris,Perth,19,Croudace Bay Park,"Cottesloe Beach, Perth, WA 6011",629,Noise Level Measurement,Description 71,6.56,Equipment 3,333.47,Non-Compliant,1,3695,Yes,Yes
15-02-2022,14,Isabella Thompson,Adelaide,14,Merewether Beach,"Glenelg Beach, Adelaide, SA 5045",233,Noise Level Measurement,Description 30,1.42,Equipment 16,16.16,Compliant,2,994,Yes,Yes
18-02-2022,2,Grace Jones,Hobart,1,Nobbys Beach,"Salamanca Place, Hobart, TAS 7000",519,Soil Quality Test,Description 168,4.17,Equipment 2,178.89,Non-Compliant,4,1829,No,
30-09-2022,4,Laura Clark,Darwin,16,Speers Point Park,"Darwin Waterfront, Darwin, NT 0800",435,Soil Quality Test,Description 137,3.44,Equipment 1,251.2,Compliant,1,2997,Yes,Yes
17-10-2022,4,Natalie Walker,Canberra,10,Warners Bay Foreshore,"Parliament House, Canberra, ACT 2600",495,Water Quality Test,Description 134,3.37,Equipment 17,474.92,Compliant,4,1259,No,
23-02-2022,24,Hannah Moore,Gold Coast,5,Redhead Beach,"Broadbeach, Gold Coast, QLD 4218",163,Water Quality Test,Description 136,2.88,Equipment 11,276.65,Non-Compliant,4,811,Yes,No
08-05-2022,20,Ella Brown,Newcastle,23,Glenrock State Conservation Area,"Shortland Esplanade, Newcastle, NSW 2300",999,Air Quality Check,Description 188,5.9,Equipment 7,445.47,Compliant,4,1564,Yes,Yes
24-04-2022,14,Uma Allen,Sydney,22,Hunter Wetlands Centre,"Circular Quay, Sydney, NSW 2000",126,Water Quality Test,Description 60,2.54,Equipment 14,275.09,Compliant,3,3286,No,
13-08-2022,20,Vicky Turner,Melbourne,21,Croudace Bay Park,"St Kilda Road, Melbourne, VIC 3004",607,Soil Quality Test,Description 12,4.13,Equipment 18,123.45,Compliant,4,547,Yes,Yes
07-04-2022,20,Kate Harris,Brisbane,6,Belmont Wetlands State Park,"Queen Street Mall, Brisbane, QLD 4000",78,Water Quality Test,Description 42,4.55,Equipment 17,436.29,Compliant,5,518,No,
05-09-2022,11,Ella Brown,Perth,1,Jesmond Park,"Kings Park, Perth, WA 6005",642,Water Quality Test,Description 195,1.77,Equipment 4,130.43,Non-Compliant,1,2919,No,
12-05-2022,3,Diana Taylor,Adelaide,4,Mount Sugarloaf,"Rundle Mall, Adelaide, SA 5000",24,Soil Quality Test,Description 137,2.09,Equipment 9,257.65,Compliant,1,2728,Yes,No
08-06-2022,16,Grace Jones,Hobart,9,Speers Point Park,"Salamanca Place, Hobart, TAS 7000",73,Noise Level Measurement,Description 86,5.47,Equipment 11,288.55,Compliant,2,834,No,
19-03-2022,4,Samantha Wright,Darwin,6,Toronto Foreshore,"Victory Parade, Toronto, NSW 2283",307,Noise Level Measurement,Description 3,2.61,Equipment 5,341.57,Compliant,5,2414,Yes,Yes
18-08-2022,18,Kate Harris,Canberra,1,Watagan Mountains,"Watagan Forest Road, Watagan Mountains, NSW 2325",694,Noise Level Measurement,Description 104,7.73,Equipment 4,387.83,Non-Compliant,4,190,Yes,No
23-06-2022,8,Catherine Lee,Gold Coast,15,Awaba State Forest,"Broadbeach, Gold Coast, QLD 4218",179,Soil Quality Test,Description 19,2.47,Equipment 7,387.16,Non-Compliant,5,3360,No,
10-08-2022,21,Grace Jones,Newcastle,23,Heaton State Forest,"John Parade, Merewether, NSW 2291",5,Noise Level Measurement,Description 47,4.87,Equipment 20,112.01,Compliant,5,4390,Yes,Yes
15-05-2022,20,Isabella Thompson,Sydney,5,Lambton Park,"Reserve Road, Newcastle, NSW 2300",69,Soil Quality Test,Description 55,1.82,Equipment 14,337.43,Non-Compliant,2,2486,No,
19-11-2022,8,Kate Harris,Melbourne,9,Toronto Foreshore,"St Kilda Road, Melbourne, VIC 3004",956,Soil Quality Test,Description 20,6.79,Equipment 3,159.83,Compliant,3,293,Yes,No
29-09-2022,24,Isabella Thompson,Brisbane,15,Braye Park,"Queen Street Mall, Brisbane, QLD 4000",467,Water Quality Test,Description 163,3.35,Equipment 3,58.79,Non-Compliant,1,3329,No,
16-06-2022,24,Kate Harris,Perth,16,Waratah Park,"Cottesloe Beach, Perth, WA 6011",144,Noise Level Measurement,Description 102,2.06,Equipment 15,55.82,Compliant,3,1199,Yes,No
24-10-2022,22,Isabella Thompson,Adelaide,7,King Edward Park,"Rundle Mall, Adelaide, SA 5000",548,Noise Level Measurement,Description 174,1.72,Equipment 3,358.43,Non-Compliant,2,3822,Yes,Yes
22-07-2022,5,Ella Brown,Hobart,22,Blackbutt Nature Reserve,"Salamanca Place, Hobart, TAS 7000",916,Water Quality Test,Description 40,1.24,Equipment 10,203.36,Non-Compliant,3,1526,Yes,No
08-12-2022,19,Rachel King,Darwin,4,King Edward Park,"Darwin Waterfront, Darwin, NT 0800",998,Air Quality Check,Description 74,6.13,Equipment 11,332.02,Non-Compliant,3,1391,Yes,No
07-06-2022,3,Olivia Hall,Canberra,22,Newcastle Beach,"Lake Burley Griffin, Canberra, ACT 2600",837,Water Quality Test,Description 197,6.12,Equipment 5,474.62,Non-Compliant,3,740,Yes,No
07-02-2022,15,Alice Johnson,Gold Coast,6,Merewether Beach,"Broadbeach, Gold Coast, QLD 4218",966,Noise Level Measurement,Description 173,2.9,Equipment 3,397.63,Non-Compliant,5,168,Yes,No
24-03-2022,19,Natalie Walker,Newcastle,4,Nobbys Beach,"Shortland Esplanade, Newcastle, NSW 2300",658,Air Quality Check,Description 120,1.54,Equipment 15,21.16,Non-Compliant,2,3430,Yes,Yes
21-05-2022,16,Ella Brown,Sydney,8,Speers Point Park,"Circular Quay, Sydney, NSW 2000",341,Soil Quality Test,Description 147,4.24,Equipment 4,82.82,Compliant,5,1648,No,
28-05-2022,25,Diana Taylor,Melbourne,5,Warners Bay Foreshore,"St Kilda Road, Melbourne, VIC 3004",673,Water Quality Test,Description 104,5.04,Equipment 4,478.76,Non-Compliant,5,2559,No,
01-10-2022,25,Paula Young,Brisbane,4,Redhead Beach,"Queen Street Mall, Brisbane, QLD 4000",21,Noise Level Measurement,Description 192,6.66,Equipment 9,361.83,Non-Compliant,2,2134,Yes,No
12-04-2022,16,Alice Johnson,Perth,14,Glenrock State Conservation Area,"Kings Park, Perth, WA 6005",396,Water Quality Test,Description 1,2.87,Equipment 11,344.81,Compliant,5,3074,No,
23-07-2022,14,Laura Clark,Adelaide,12,Hunter Wetlands Centre,"Sandgate Road, Shortland, NSW 2307",268,Air Quality Check,Description 56,1.14,Equipment 19,413.04,Compliant,2,3166,No,
17-08-2022,8,Megan Lewis,Hobart,20,Croudace Bay Park,"Mount Wellington, Hobart, TAS 7054",53,Noise Level Measurement,Description 164,2.22,Equipment 14,279.9,Compliant,1,2868,Yes,No
04-09-2022,15,Kate Harris,Darwin,9,Belmont Wetlands State Park,"Darwin Waterfront, Darwin, NT 0800",356,Water Quality Test,Description 135,6.07,Equipment 13,359.15,Compliant,3,2509,No,
17-08-2022,6,Zoe Ward,Canberra,8,Jesmond Park,"Parliament House, Canberra, ACT 2600",508,Noise Level Measurement,Description 126,3.81,Equipment 8,179.11,Compliant,3,3652,Yes,No
16-01-2022,13,Zoe Ward,Gold Coast,16,Mount Sugarloaf,"Surfers Paradise Beach, Gold Coast, QLD 4217",142,Noise Level Measurement,Description 191,5.29,Equipment 19,68.75,Non-Compliant,4,3191,No,
20-03-2022,9,Samantha Wright,Newcastle,8,Charlestown Park,"Shortland Esplanade, Newcastle, NSW 2300",747,Air Quality Check,Description 152,4.66,Equipment 5,8.51,Non-Compliant,5,2857,No,
23-12-2022,24,Wendy Mitchell,Sydney,17,Toronto Foreshore,"Reserve Road, Newcastle, NSW 2300",215,Noise Level Measurement,Description 14,3.42,Equipment 20,446.08,Non-Compliant,3,4201,Yes,Yes
19-02-2022,15,Jane White,Melbourne,15,Watagan Mountains,"St Kilda Road, Melbourne, VIC 3004",245,Air Quality Check,Description 145,7.53,Equipment 4,257.86,Compliant,3,3847,Yes,Yes
14-06-2022,22,Diana Taylor,Brisbane,22,Awaba State Forest,"South Bank, Brisbane, QLD 4101",637,Noise Level Measurement,Description 164,2.36,Equipment 2,180.18,Non-Compliant,3,455,Yes,Yes
10-03-2022,2,Hannah Moore,Perth,13,Awaba State Forest,"Kings Park, Perth, WA 6005",537,Soil Quality Test,Description 143,5.27,Equipment 11,252.07,Compliant,3,3878,Yes,No
21-01-2022,22,Laura Clark,Adelaide,3,Lambton Park,"Rundle Mall, Adelaide, SA 5000",380,Noise Level Measurement,Description 11,1.58,Equipment 16,456.18,Non-Compliant,1,187,No,
28-04-2022,6,Megan Lewis,Hobart,7,Richley Reserve,"Salamanca Place, Hobart, TAS 7000",636,Soil Quality Test,Description 196,1.15,Equipment 6,195.56,Non-Compliant,3,1146,No,
23-06-2022,1,Olivia Hall,Darwin,2,Braye Park,"Darwin Waterfront, Darwin, NT 0800",194,Air Quality Check,Description 66,1.52,Equipment 10,86.83,Non-Compliant,5,2333,No,
10-07-2022,25,Grace Jones,Canberra,19,Waratah Park,"Lake Burley Griffin, Canberra, ACT 2600",134,Air Quality Check,Description 28,4.46,Equipment 2,475.89,Non-Compliant,5,2090,Yes,No
26-12-2022,5,Fiona Wilson,Gold Coast,12,King Edward Park,"Broadbeach, Gold Coast, QLD 4218",939,Air Quality Check,Description 103,1.17,Equipment 3,29.36,Compliant,1,3747,No,
23-07-2022,16,Isabella Thompson,Newcastle,14,Heaton State Forest,"John Parade, Merewether, NSW 2291",490,Soil Quality Test,Description 125,4.1,Equipment 13,335.16,Compliant,5,4584,No,
